273,Beting E 273,6800000.0,8,25
185,Binangun F 185,9200000.0,10,25
210,Belimbing A 210,7400000.0,8,25
242,Bhakti 242,7900000.0,9,25
206,Jl. B Lagoa H 206,9600000.0,10,20
6,Anggrek A / 6,7500000.0,8,20
215,Banten 215,7000000.0,8,25
261,Irnuf B 261,5800000.0,7,25
260,Empang B 260,6100000.0,8,25
266,Jln B 266,7800000.0,8,25
259,Lorong 259,6000000.0,7,20
250,Pepaya D 250,8000000.0,8,25
91,Kosambi G 91,11000000.0,8,25
213,Melati A1 213,10500000.0,9,20
177,Bambu 177,6400000.0,7,25
222,Anggrek D 222,5400000.0,8,25
83,Banten 83,7500000.0,8,25
208,Beting D 208,8200000.0,8,25
75,Macan A 75,7200000.0,7,25
167,Buntu B 167,17000000.0,9,25
95,Pembangunan A 95,6200000.0,6,25
164,Jalan A Lagoa E 164,8000000.0,8,15
176,Bambu 176,8200000.0,8,25
153,Jl.B Lagoa 153,5500000.0,6,25
71,Kapal A 71,9600000.0,8,25
154,Jl.B Lagoa G 154,6200000.0,6,25
108,Cipucang B 108,5200000.0,6,25
175,Kapal C 175,8000000.0,8,25
66,Nelayan B 66,10800000.0,8,25
8,Mantang A,8000000.0,8,25
168,Kapal D 168,8800000.0,8,25
303,Lontar C 303,8800000.0,7,25
158,Mawar I 158,5700000.0,6,25
112,Mawar D 112,8200000.0,7,25
367,Cipucang D 367,8800000.0,10,25
240,Pepaca C 240,7000000.0,7,20
287,Kamboja C 287,7400000.0,8,25
174,Beting C 174,8600000.0,9,25
331,Por Timur 331,6000000.0,7,20
82,RW 02 82,8700000.0,8,25
438,Abror 438,5900000.0,7,25
137,Melur 137,14400000.0,9,25
138,Nelayan C 138,9600000.0,9,25
226,Deli B 226,7200000.0,8,20
209,Blok R A 209,8700000.0,10,25
197,Landak 197,8600000.0,7,25
S. 196,Macan F   S.196,5200000.0,7,25
194,Deperla A 194,6800000.0,7,25
224,Pepaya Raya A 224,6200000.0,7,25
181,Macan E / S. 181,6100000.0,7,25
88,Buntu 88,8800000.0,8,25
180,Kosambi F 180,5800000.0,7,25
333,Sindang C 333,8200000.0,9,20
173,Angsana B 173,8200000.0,8,25
63,Semprotan B 63,6400000.0,7,25
221,Rw 02 C 221,15000000.0,9,20
77,Nelayan C 77,8000000.0,7,25
157,UKA E 157,7200000.0,7,25
161,Pembangunan D 161,5300000.0,6,25
54,Bambu 54,9300000.0,8,25
152,Buntu 152,9200000.0,9,25
113,Mawar H 113,8200000.0,7,25
183,Banten 183,6100000.0,6,25
186,Nelayan D 186,7500000.0,7,25
