UKA E 157,157,25,7
Kapal A,71,25,8
Lontar C 303,303,25,7
Nelayan C 138,138,25,9
Mawar H 113,113,25,7
Kosambi F 180,180,25,7
Kapal C 175,175,25,8
Rw 02 C 221,221,20,9
Pembangunan D 161,161,25,6
Buntu 152,152,25,9
Pembangunan A 95,95,25,6
Cipucang D 367,367,25,10
Nelayan B,66,25,8
Mawar D 112,112,25,7
Por Timur 331,331,20,7
