branch_code,name,code,description,address,collection_day,collection_schedule
b13,3.77 Enggano,3.77,,Enggano,Rabu,
b13,3.78 Papanggo,3.78,,Papanggo,Kamis,
b13,3.79 Rawa Indah,3.79,,Rawa Indah,Senin,
b13,3.80 Taruna,3.80,,Taruna,Senin,
b13,3.81 Dukuh,3.81,,Dukuh,Kamis,
b13,3.82 Pepaya,3.82,,Pepaya,Kamis,
b13,3.83 Kosambi,3.83,,Kosambi,Kamis,
b13,3.84 Papanggo,3.84,,Papanggo,Kamis,
b13,3.85 Kampung Kurus,3.85,,Kampung Kurus,Selasa,
b13,3.86 Jati,3.86,,Jati,Selasa,
b13,3.87 Kebon Bayam,3.87,,Kebon Bayam,Rabu,
b13,3.88 Bakti,3.88,,Bakti,Kamis,
b13,3.89 Warakas,3.89,,Warakas,Selasa,
b13,3.9 FBR,3.9,,FBR,Senin,
b13,3.90 Swadaya,3.90,,Swadaya,Selasa,
b13,3.91 Dukuh,3.91,,Dukuh,Kamis,
b13,3.92 Warakas,3.92,,Warakas,Senin,
b13,3.93 Warakas,3.93,,Warakas,Selasa,
b13,3.94 Mandiri,3.94,,Mandiri,Rabu,
b13,3.95 Kampung Kandang,3.95,,Kampung Kandang,Selasa,
b13,3.96 Papanggo,3.96,,Papanggo,Senin,
b13,3.97 Bahari 5,3.97,,Bahari 5,Selasa,
b13,3.98 Papanggo,3.98,,Papanggo,Rabu,
b13,3.99 Kebon Bayam,3.99,,Kebon Bayam,Kamis,
b14,4.1 Kampung Sepat,4.1,,Kampung Sepat,Senin,
b14,4.10 Kampung Sawah,4.10,,Kampung Sawah,Selasa,
b14,4.12 Marunda Kongsi,4.12,,Marunda Kongsi,Kamis,
b14,4.13 Rusmar A7,4.13,,Rusmar A7,Kamis,
b14,4.14 Kampung Sawah,4.14,,Kampung Sawah,Senin,
b14,4.15 Kramat Blencong,4.15,,Kramat Blencong,Senin,
b14,4.16 Rorotan,4.16,,Rorotan,Senin,
b14,4.17 Kebon Kelapa,4.17,,Kebon Kelapa,Selasa,
b14,4.18 Sutim,4.18,,Sutim,Kamis,
b14,4.19 Kampung Sawah,4.19,,Kampung Sawah,Selasa,
b14,4.2 Kampung Sepat,4.2,,Kampung Sepat,Senin,
b14,4.21 Rusmar,4.21,,Rusmar,Kamis,
b14,4.23 Sutim,4.23,,Sutim,Kamis,
b14,4.24 Rusmar A4,4.24,,Rusmar A4,Kamis,
b14,4.25 Kampung Sawah,4.25,,Kampung Sawah,Senin,
b14,4.26 Rusmar,4.26,,Rusmar,Kamis,
b14,4.27 Kampung Sawah,4.27,,Kampung Sawah,Selasa,
b14,4.28 Malaka,4.28,,Malaka,Rabu,
b14,4.29 Ruscil,4.29,,Ruscil,Kamis,
b14,4.3 Marunda Kepu,4.3,,Marunda Kepu,Selasa,
b14,4.31 Ruscil,4.31,,Ruscil,Rabu,
b14,4.32 Kampung Sepat,4.32,,Kampung Sepat,Selasa,
b14,4.33 Malaka,4.33,,Malaka,Rabu,
b14,4.34 Malaka,4.34,,Malaka,Rabu,
b14,4.35 Ruscil,4.35,,Ruscil,Rabu,
b14,4.36 Rusmar,4.36,,Rusmar,Kamis,
b14,4.37 Sutim,4.37,,Sutim,Rabu,
b14,4.38 Sutim,4.38,,Sutim,Rabu,
b14,4.4 Kebon Kelapa,4.4,,Kebon Kelapa,Rabu,
b14,4.40 Ruscil,4.40,,Ruscil,Rabu,
b14,4.41 Tambun Rengas,4.41,,Tambun Rengas,Senin,
b14,4.42 Poncol,4.42,,Poncol,Kamis,
b14,4.43 Rengas,4.43,,Rengas,Rabu,
b14,4.44 Rusmar,4.44,,Rusmar,Rabu,
b14,4.45 Karang Tengah,4.45,,Karang Tengah,Senin,
b14,4.46 Marunda Baru,4.46,,Marunda Baru,Selasa,
b14,4.47 Rawa Malang,4.47,,Rawa Malang,Selasa,
b14,4.48 Sutim,4.48,,Sutim,Rabu,
b14,4.49 Mencos,4.49,,Mencos,Kamis,
b14,4.5 Rusmar,4.5,,Rusmar,Kamis,
b14,4.50 Tanah Merdeka,4.50,,Tanah Merdeka,Kamis,
b14,4.51 Kampung Sawah,4.51,,Kampung Sawah,Selasa,
b14,4.52 Aspol,4.52,,Aspol,Rabu,
b14,4.53 Aspol,4.53,,Aspol,Rabu,
b15,4.54 Kakap,4.54,,Kakap,Kamis,
b14,4.55 Kelapa Dua,4.55,,Kelapa Dua,Kamis,
b14,4.56 Rorotan,4.56,,Rorotan,Kamis,
b14,4.57 Turi Jaya,4.57,,Turi Jaya,Senin,
b14,4.58 Bulak Turi,4.58,,Bulak Turi,Selasa,
b15,4.59 Pelelangan,4.59,,Pelelangan,Selasa,
b14,4.6 Bidara,4.6,,Bidara,Rabu,
b14,4.60 Rorotan,4.60,,Rorotan,Kamis,
b14,4.61 Malaka,4.61,,Malaka,Selasa,
b14,4.62 Rusmar,4.62,,Rusmar,Kamis,
b14,4.63 Rorotan,4.63,,Rorotan,Kamis,
b14,4.64 Rusmar,4.64,,Rusmar,Selasa,
b15,4.65 Kosambi,4.65,,Kosambi,Rabu,
b14,4.66 Kampung Sawah,4.66,,Kampung Sawah,Selasa,
b14,4.67 Malaka,4.67,,Malaka,Rabu,
b14,4.68 Landak,4.68,,Landak,Senin,
